year,sex,level_of_school,length_of_service,no_of_teachers
1996,MF,PRE-UNIVERSITY,25 - 29 YEARS,99
1996,F,PRE-UNIVERSITY,25 - 29 YEARS,48
1996,MF,PRIMARY,30 YEARS & ABOVE,4118
1996,F,PRIMARY,30 YEARS & ABOVE,2683
1996,MF,SECONDARY,30 YEARS & ABOVE,1738
1996,F,SECONDARY,30 YEARS & ABOVE,670
1996,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,85
1996,F,PRE-UNIVERSITY,30 YEARS & ABOVE,23
1997,MF,PRIMARY,0 - 4 YEARS,2908
1997,F,PRIMARY,0 - 4 YEARS,2462
1997,MF,SECONDARY,0 - 4 YEARS,2784
1997,F,SECONDARY,0 - 4 YEARS,1835
1997,MF,PRE-UNIVERSITY,0 - 4 YEARS,518
1997,F,PRE-UNIVERSITY,0 - 4 YEARS,275
1997,MF,PRIMARY,5 - 9 YEARS,1334
1997,F,PRIMARY,5 - 9 YEARS,1215
1997,MF,SECONDARY,5 - 9 YEARS,1009
1997,F,SECONDARY,5 - 9 YEARS,765
1997,MF,PRE-UNIVERSITY,5 - 9 YEARS,270
1997,F,PRE-UNIVERSITY,5 - 9 YEARS,172
1997,MF,PRIMARY,10 - 14 YEARS,508
1997,F,PRIMARY,10 - 14 YEARS,435
1997,MF,SECONDARY,10 - 14 YEARS,995
1997,F,SECONDARY,10 - 14 YEARS,779
1997,MF,PRE-UNIVERSITY,10 - 14 YEARS,294
1997,F,PRE-UNIVERSITY,10 - 14 YEARS,198
1997,MF,PRIMARY,15 - 19 YEARS,782
1997,F,PRIMARY,15 - 19 YEARS,726
1997,MF,SECONDARY,15 - 19 YEARS,1025
1997,F,SECONDARY,15 - 19 YEARS,816
1997,MF,PRE-UNIVERSITY,15 - 19 YEARS,251
1997,F,PRE-UNIVERSITY,15 - 19 YEARS,170
1997,MF,PRIMARY,20 - 24 YEARS,477
1997,F,PRIMARY,20 - 24 YEARS,398
1997,MF,SECONDARY,20 - 24 YEARS,561
1997,F,SECONDARY,20 - 24 YEARS,408
1997,MF,PRE-UNIVERSITY,20 - 24 YEARS,98
1997,F,PRE-UNIVERSITY,20 - 24 YEARS,75
1997,MF,PRIMARY,25 - 29 YEARS,757
1997,F,PRIMARY,25 - 29 YEARS,582
1997,MF,SECONDARY,25 - 29 YEARS,806
1997,F,SECONDARY,25 - 29 YEARS,416
1997,MF,PRE-UNIVERSITY,25 - 29 YEARS,100
1997,F,PRE-UNIVERSITY,25 - 29 YEARS,49
1997,MF,PRIMARY,30 YEARS & ABOVE,4423
1997,F,PRIMARY,30 YEARS & ABOVE,2914
1997,MF,SECONDARY,30 YEARS & ABOVE,1869
1997,F,SECONDARY,30 YEARS & ABOVE,758
1997,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,93
1997,F,PRE-UNIVERSITY,30 YEARS & ABOVE,29
1998,MF,PRIMARY,0 - 4 YEARS,3167
1998,F,PRIMARY,0 - 4 YEARS,2636
1998,MF,SECONDARY,0 - 4 YEARS,3002
1998,F,SECONDARY,0 - 4 YEARS,1944
1998,MF,PRE-UNIVERSITY,0 - 4 YEARS,615
1998,F,PRE-UNIVERSITY,0 - 4 YEARS,320
1998,MF,PRIMARY,5 - 9 YEARS,1510
1998,F,PRIMARY,5 - 9 YEARS,1361
1998,MF,SECONDARY,5 - 9 YEARS,1027
1998,F,SECONDARY,5 - 9 YEARS,743
1998,MF,PRE-UNIVERSITY,5 - 9 YEARS,239
1998,F,PRE-UNIVERSITY,5 - 9 YEARS,145
1998,MF,PRIMARY,10 - 14 YEARS,609
1998,F,PRIMARY,10 - 14 YEARS,538
1998,MF,SECONDARY,10 - 14 YEARS,902
1998,F,SECONDARY,10 - 14 YEARS,728
